[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,107.0000,24.0000,108,4.458333

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:Head,SCL,102,102.000000
mixamorig:Head,SCL,103,103.000000
mixamorig:Head,SCL,104,104.000000
mixamorig:Head,SCL,105,105.000000
mixamorig:Head,SCL,106,106.000000
mixamorig:Head,SCL,107,107.000000
mixamorig:Hips,POS,0,0.000000
mixamorig:Hips,POS,1,1.000000
mixamorig:Hips,POS,2,2.000000
mixamorig:Hips,POS,3,3.000000
mixamorig:Hips,POS,4,4.000000
mixamorig:Hips,POS,5,5.000000
mixamorig:Hips,POS,6,6.000000
mixamorig:Hips,POS,7,7.000000
mixamorig:Hips,POS,8,8.000000
mixamorig:Hips,POS,9,9.000000
mixamorig:Hips,POS,10,10.000000
mixamorig:Hips,POS,11,11.000000
mixamorig:Hips,POS,12,12.000000
mixamorig:Hips,POS,13,13.000000
mixamorig:Hips,POS,14,14.000000
mixamorig:Hips,POS,15,15.000000
mixamorig:Hips,POS,16,16.000000
mixamorig:Hips,POS,17,17.000000
mixamorig:Hips,POS,18,18.000000
mixamorig:Hips,POS,19,19.000000
mixamorig:Hips,POS,20,20.000000
mixamorig:Hips,POS,21,21.000000
mixamorig:Hips,POS,22,22.000000
mixamorig:Hips,POS,23,23.000000
mixamorig:Hips,POS,24,24.000000
mixamorig:Hips,POS,25,25.000000
mixamorig:Hips,POS,26,26.000000
mixamorig:Hips,POS,27,27.000000
mixamorig:Hips,POS,28,28.000000
mixamorig:Hips,POS,29,29.000000
mixamorig:Hips,POS,30,30.000000
mixamorig:Hips,POS,31,31.000000
mixamorig:Hips,POS,32,32.000000
mixamorig:Hips,POS,33,33.000000
mixamorig:Hips,POS,34,34.000000
mixamorig:Hips,POS,35,35.000000
mixamorig:Hips,POS,36,36.000000
mixamorig:Hips,POS,37,37.000000
mixamorig:Hips,POS,38,38.000000
mixamorig:Hips,POS,39,39.000000
mixamorig:Hips,POS,40,40.000000
mixamorig:Hips,POS,41,41.000000
mixamorig:Hips,POS,42,42.000000
mixamorig:Hips,POS,43,43.000000
mixamorig:Hips,POS,44,44.000000
mixamorig:Hips,POS,45,45.000000
mixamorig:Hips,POS,46,46.000000
mixamorig:Hips,POS,47,47.000000
mixamorig:Hips,POS,48,48.000000
mixamorig:Hips,POS,49,49.000000
mixamorig:Hips,POS,50,50.000000
mixamorig:Hips,POS,51,51.000000
mixamorig:Hips,POS,52,52.000000
mixamorig:Hips,POS,53,53.000000
mixamorig:Hips,POS,54,54.000000
mixamorig:Hips,POS,55,55.000000
mixamorig:Hips,POS,56,56.000000
mixamorig:Hips,POS,57,57.000000
