[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,24.0000,24.0000,25,1.000000

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,48,3.900000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,49,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,50,-0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,51,-0.000006
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,52,4.200000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,53,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,54,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,55,-0.000003
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,56,4.500000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,57,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,58,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,59,-0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,60,4.800000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,61,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,62,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,63,-0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,64,5.100000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,65,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,66,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,67,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,68,5.400000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,69,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,70,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,71,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,72,5.700000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,73,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,74,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,75,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,76,6.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,77,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,78,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,79,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,80,6.300000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,81,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,82,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,83,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,84,6.600000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,85,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,86,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,87,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,88,7.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,89,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,90,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,91,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,92,7.400000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,93,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,94,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,95,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,96,7.700000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,97,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,98,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,99,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,100,8.200000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,101,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,102,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,103,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,104,8.500000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,105,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,106,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,107,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,108,8.800000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,109,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,110,0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,111,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,112,9.600000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,113,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,114,0.000004
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,115,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,116,9.900000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,117,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,118,0.000005
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,119,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,120,10.200000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,121,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,122,0.000003
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,123,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,124,10.500000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,125,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,126,0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,127,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,128,10.799999
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,129,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,130,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,131,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,132,11.100000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,133,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,134,0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,135,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,136,11.400000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,137,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,138,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,139,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,140,11.700000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,141,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,142,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,143,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,144,12.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,145,-inf
